Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	false	false	Homo sapiens	CCR4-NOT transcription complex subunit 1	1:Experimental evidence at protein level	14.06	1.0000	0.9990	0.00000000000000	24	24	24	57	57	57	     0	     0	     0	2C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	false	false	Homo sapiens	Glycerol-3-phosphate phosphatase	1:Experimental evidence at protein level	39.88	1.0000	0.9990	0.00000000000000	9	9	9	45	45	45	     0	     0	     0	11C(57.0214), 5C(57.0214), 7C(57.0214)		
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	false	false	Homo sapiens	RAB7A-interacting MON1-CCZ1 complex subunit 1	1:Experimental evidence at protein level	16.67	1.0000	0.9990	0.00000000000000	3	3	3	8	8	8	     0	     0	     0	21C(57.0214), 2C(57.0214), 5C(57.0214)		
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	false	false	Homo sapiens	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1:Experimental evidence at protein level	13.37	1.0000	0.9990	0.00000000000000	15	15	15	37	37	37	     0	     0	     0	11C(57.0214), 14C(57.0214), 2C(57.0214), 4C(57.0214), N-term(42.0106)		
sp|A8CG34|P121C_HUMAN	A8CG34	P121C_HUMAN	POM121C	1229	false	false	Homo sapiens	Nuclear envelope pore membrane protein POM 121C	1:Experimental evidence at protein level	8.95	1.0000	0.9990	0.00000000000000	6	1	6	19	3	19	     0	     0	     0	23C(57.0214), 3C(57.0214)		
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	false	false	Homo sapiens	Putative small nuclear ribonucleoprotein G-like protein 15	5:Protein uncertain	35.53	1.0000	0.9990	0.00000000000000	4	0	4	19	0	19	     0	     0	     0			sp|P62308|RUXG_HUMAN
sp|A8MXV4|NUD19_HUMAN	A8MXV4	NUD19_HUMAN	NUDT19	375	false	false	Homo sapiens	Acyl-coenzyme A diphosphatase NUDT19	1:Experimental evidence at protein level	21.33	1.0000	0.9990	0.00000000000000	4	4	4	12	12	12	     0	     0	     0			
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	false	false	Homo sapiens	Unconventional myosin-Ig	1:Experimental evidence at protein level	41.85	1.0000	0.9990	0.00000000000000	30	28	30	106	99	106	     0	     0	     0	10C(57.0214), 12C(57.0214), 3C(57.0214), 4C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	false	false	Homo sapiens	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1:Experimental evidence at protein level	5.05	1.0000	0.9990	0.00000000000000	6	0	6	73	0	73	     0	     0	     0	15M(15.9949)		sp|Q13765|NACA_HUMAN
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	false	false	Homo sapiens	Uncharacterized protein C11orf98	1:Experimental evidence at protein level	25.20	1.0000	0.9990	0.00000000000000	3	3	3	11	11	11	     0	     0	     0			
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	false	false	Homo sapiens	SLC35A4 upstream open reading frame protein	3:Protein inferred from homology	46.60	1.0000	0.9990	0.00000000000000	4	4	4	8	8	8	     0	     0	     0			
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	false	false	Homo sapiens	Deoxyribonuclease-2-alpha	1:Experimental evidence at protein level	10.28	1.0000	0.9990	0.00000000000000	3	3	3	9	9	9	     0	     0	     0	5C(57.0214), 6C(57.0214)		
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	false	false	Homo sapiens	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1:Experimental evidence at protein level	44.38	1.0000	0.9990	0.00000000000000	19	19	19	87	87	87	     0	     0	     0	10C(57.0214), 15C(57.0214), 20C(57.0214), 4C(57.0214), 5C(57.0214)		
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	false	false	Homo sapiens	Kinesin-like protein KIF2A	1:Experimental evidence at protein level	21.10	1.0000	0.9990	0.00000000000000	11	10	11	28	26	28	     0	     0	     0	14C(57.0214), 15C(57.0214), 2C(57.0214), 5C(57.0214)		
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	false	false	Homo sapiens	ATP-dependent RNA helicase DDX39A	1:Experimental evidence at protein level	65.34	1.0000	0.9990	0.00000000000000	22	11	11	175	72	72	     0	     0	     0	1C(57.0214), 2C(57.0214), 7C(57.0214), N-term(42.0106)		
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	false	false	Homo sapiens	PDZ and LIM domain protein 1	1:Experimental evidence at protein level	44.68	1.0000	0.9990	0.00000000000000	8	8	8	14	14	14	     0	     0	     0	N-term(42.0106)		
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	false	false	Homo sapiens	Cytosolic acyl coenzyme A thioester hydrolase	1:Experimental evidence at protein level	38.95	1.0000	0.9990	0.00000000000000	11	10	11	45	44	45	     0	     0	     0	2C(57.0214)		
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	false	false	Homo sapiens	Unconventional myosin-Ic	1:Experimental evidence at protein level	38.95	1.0000	0.9990	0.00000000000000	32	31	32	93	92	93	     0	     0	     0	10C(57.0214), 1C(57.0214), 3C(57.0214), 4C(57.0214), 7C(57.0214)		
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	false	false	Homo sapiens	Synaptosomal-associated protein 23	1:Experimental evidence at protein level	45.50	1.0000	0.9990	0.00000000000000	6	6	6	12	12	12	     0	     0	     0	12C(57.0214), N-term(42.0106)		
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	false	false	Homo sapiens	HCLS1-associated protein X-1	1:Experimental evidence at protein level	31.54	1.0000	0.9990	0.00000000000000	6	6	6	17	17	17	     0	     0	     0	N-term(42.0106)		
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	false	false	Homo sapiens	AH receptor-interacting protein	1:Experimental evidence at protein level	58.18	1.0000	0.9990	0.00000000000000	14	14	14	54	54	54	     0	     0	     0	13C(57.0214), 23C(57.0214), 25C(57.0214), 2C(57.0214), 3C(57.0214), 7C(57.0214), 9C(57.0214)		
sp|O00178|GTPB1_HUMAN	O00178	GTPB1_HUMAN	GTPBP1	669	false	false	Homo sapiens	GTP-binding protein 1	1:Experimental evidence at protein level	24.66	1.0000	0.9990	0.00000000000000	9	9	9	22	22	22	     0	     0	     0	2C(57.0214)		
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	false	false	Homo sapiens	Syntaxin-binding protein 3	1:Experimental evidence at protein level	25.34	1.0000	0.9990	0.00000000000000	11	11	11	29	29	29	     0	     0	     0	11C(57.0214), 15C(57.0214), 1C(57.0214), 4C(57.0214)		
sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	false	false	Homo sapiens	Small acidic protein	1:Experimental evidence at protein level	25.14	1.0000	0.9990	0.00000000000000	3	3	3	20	20	20	     0	     0	     0	13M(15.9949)		
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	false	false	Homo sapiens	AP-3 complex subunit beta-1	1:Experimental evidence at protein level	22.85	1.0000	0.9990	0.00000000000000	16	14	16	44	38	44	     0	     0	     0	11C(57.0214), 3C(57.0214), N-term(42.0106)		
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	false	false	Homo sapiens	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1:Experimental evidence at protein level	21.90	1.0000	0.9990	0.00000000000000	4	4	4	18	18	18	     0	     0	     0	2C(57.0214), 6C(57.0214)		
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	false	false	Homo sapiens	26S proteasome non-ATPase regulatory subunit 11	1:Experimental evidence at protein level	58.29	1.0000	0.9990	0.00000000000000	22	22	22	118	118	118	     0	     0	     0	8C(57.0214), N-term(42.0106)		
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	false	false	Homo sapiens	26S proteasome non-ATPase regulatory subunit 12	1:Experimental evidence at protein level	51.10	1.0000	0.9990	0.00000000000000	19	19	19	95	95	95	     0	     0	     0	5C(57.0214), 6C(57.0214), 7C(57.0214)		
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	false	false	Homo sapiens	26S proteasome non-ATPase regulatory subunit 9	1:Experimental evidence at protein level	39.91	1.0000	0.9990	0.00000000000000	8	8	8	32	32	32	     0	     0	     0	11C(57.0214), 5C(57.0214)		
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	false	false	Homo sapiens	Copper transport protein ATOX1	1:Experimental evidence at protein level	63.24	1.0000	0.9990	0.00000000000000	3	3	3	11	11	11	     0	     0	     0	12C(57.0214), 2C(57.0214), 9C(57.0214)		
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	false	false	Homo sapiens	Membrane-associated progesterone receptor component 1	1:Experimental evidence at protein level	57.95	1.0000	0.9990	0.00000000000000	9	8	9	44	39	44	     0	     0	     0	6C(57.0214)		
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	false	false	Homo sapiens	Transcription elongation factor SPT5	1:Experimental evidence at protein level	38.36	1.0000	0.9990	0.00000000000000	26	26	26	89	89	89	     0	     0	     0	10C(57.0214), 13C(57.0214), 7C(57.0214)		
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	false	false	Homo sapiens	DNA fragmentation factor subunit alpha	1:Experimental evidence at protein level	52.57	1.0000	0.9990	0.00000000000000	13	13	13	59	59	59	     0	     0	     0	24C(57.0214), 2C(57.0214), 8C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	false	false	Homo sapiens	Chloride intracellular channel protein 1	1:Experimental evidence at protein level	78.84	1.0000	0.9990	0.00000000000000	13	13	13	169	169	169	     0	     0	     0	10C(57.0214), 12C(57.0214), 2C(57.0214), 4C(57.0214), 7C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	false	false	Homo sapiens	Eukaryotic translation initiation factor 3 subunit F	1:Experimental evidence at protein level	40.62	1.0000	0.9990	0.00000000000000	12	12	12	74	74	74	     0	     0	     0	2C(57.0214)		
sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	false	false	Homo sapiens	Actin nucleation-promoting factor WASL	1:Experimental evidence at protein level	13.07	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	     0	     0	     0	6C(57.0214)		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	false	false	Homo sapiens	Importin-5	1:Experimental evidence at protein level	60.71	1.0000	0.9990	0.00000000000000	42	39	42	263	251	263	     0	     0	     0	11C(57.0214), 12C(57.0214), 13C(57.0214), 14C(57.0214), 16C(57.0214), 17C(57.0214), 1C(57.0214), 2C(57.0214), 2M(15.9949), 4C(57.0214), 5C(57.0214), 7C(57.0214), 9C(57.0214), N-term(42.0106)		
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	false	false	Homo sapiens	Histone deacetylase complex subunit SAP18	1:Experimental evidence at protein level	41.18	1.0000	0.9990	0.00000000000000	5	5	5	20	20	20	     0	     0	     0	2C(57.0214)		
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	false	false	Homo sapiens	Insulin-like growth factor 2 mRNA-binding protein 3	1:Experimental evidence at protein level	42.49	1.0000	0.9990	0.00000000000000	19	17	19	91	77	91	     0	     0	     0	15C(57.0214), 8C(57.0214)		
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	false	false	Homo sapiens	Dynamin-1-like protein	1:Experimental evidence at protein level	62.23	1.0000	0.9990	0.00000000000000	31	31	31	129	129	129	     0	     0	     0	11C(57.0214), 1C(57.0214), 2C(57.0214), 5C(57.0214), 6C(57.0214), 8C(57.0214), N-term(42.0106)		
sp|O00442|RTCA_HUMAN	O00442	RTCA_HUMAN	RTCA	366	false	false	Homo sapiens	RNA 3'-terminal phosphate cyclase	1:Experimental evidence at protein level	21.04	1.0000	0.9990	0.00000000000000	5	5	5	11	11	11	     0	     0	     0	3C(57.0214), 7C(57.0214)		
sp|O00458|IFRD1_HUMAN	O00458	IFRD1_HUMAN	IFRD1	451	false	false	Homo sapiens	Interferon-related developmental regulator 1	1:Experimental evidence at protein level	16.63	1.0000	0.9990	0.00000000000000	5	5	5	9	9	9	     0	     0	     0	3C(57.0214), 7C(57.0214)		
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	false	false	Homo sapiens	Golgi integral membrane protein 4	1:Experimental evidence at protein level	5.32	1.0000	0.9990	0.00000000000000	3	3	3	10	10	10	     0	     0	     0			
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	false	false	Homo sapiens	Agrin	1:Experimental evidence at protein level	4.11	1.0000	0.9990	0.00000000000000	6	6	6	15	15	15	     0	     0	     0	11C(57.0214), 13C(57.0214), 15C(57.0214), 2C(57.0214), 4C(57.0214), 9C(57.0214)		
sp|O00471|EXOC5_HUMAN	O00471	EXOC5_HUMAN	EXOC5	708	false	false	Homo sapiens	Exocyst complex component 5	1:Experimental evidence at protein level	8.05	1.0000	0.9990	0.00000000000000	5	5	5	7	7	7	     0	     0	     0	2C(57.0214)		
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	false	false	Homo sapiens	Cytochrome c oxidase subunit NDUFA4	1:Experimental evidence at protein level	46.91	1.0000	0.9990	0.00000000000000	4	4	4	18	18	18	     0	     0	     0	9C(57.0214)		
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	false	false	Homo sapiens	26S proteasome non-ATPase regulatory subunit 14	1:Experimental evidence at protein level	45.81	1.0000	0.9990	0.00000000000000	9	9	9	39	39	39	     0	     0	     0	15C(57.0214)		
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	false	false	Homo sapiens	Myc box-dependent-interacting protein 1	1:Experimental evidence at protein level	9.61	1.0000	0.9990	0.00000000000000	4	4	4	9	9	9	     0	     0	     0	7C(57.0214)		
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	false	false	Homo sapiens	Importin subunit alpha-4	1:Experimental evidence at protein level	42.61	1.0000	0.9990	0.00000000000000	14	8	8	56	35	35	     0	     0	     0	16C(57.0214), 19C(57.0214), 20C(57.0214), N-term(42.0106)		
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	false	false	Homo sapiens	von Willebrand factor A domain-containing protein 5A	1:Experimental evidence at protein level	27.48	1.0000	0.9990	0.00000000000000	13	13	13	31	31	31	     0	     0	     0	10C(57.0214), 11C(57.0214), 1C(57.0214), 20C(57.0214), 5C(57.0214), 6C(57.0214)		
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	false	false	Homo sapiens	Pescadillo homolog	1:Experimental evidence at protein level	32.14	1.0000	0.9990	0.00000000000000	14	14	14	58	58	58	     0	     0	     0	13C(57.0214), 1C(57.0214), 21M(15.9949), 3C(57.0214)		
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	false	false	Homo sapiens	Syntenin-1	1:Experimental evidence at protein level	32.89	1.0000	0.9990	0.00000000000000	5	5	5	13	13	13	     0	     0	     0	13C(57.0214)		
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	false	false	Homo sapiens	U3 small nucleolar ribonucleoprotein protein MPP10	1:Experimental evidence at protein level	21.73	1.0000	0.9990	0.00000000000000	10	10	10	30	30	30	     0	     0	     0			
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	false	false	Homo sapiens	Nucleolar protein 56	1:Experimental evidence at protein level	60.61	1.0000	0.9990	0.00000000000000	26	26	26	158	158	158	     0	     0	     0	13C(57.0214), 3C(57.0214), 5C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	false	false	Homo sapiens	ATP-dependent RNA helicase DDX3X	1:Experimental evidence at protein level	58.16	1.0000	0.9990	0.00000000000000	31	9	30	159	48	149	     0	     0	     0	16C(57.0214), 2C(57.0214), 4C(57.0214), 6C(57.0214), N-term(42.0106)		
sp|O00592|PODXL_HUMAN	O00592	PODXL_HUMAN	PODXL	558	false	false	Homo sapiens	Podocalyxin	1:Experimental evidence at protein level	22.04	1.0000	0.9990	0.00000000000000	9	9	9	48	48	48	     0	     0	     0	1C(57.0214)		
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	false	false	Homo sapiens	Pirin	1:Experimental evidence at protein level	38.62	1.0000	0.9990	0.00000000000000	8	8	8	29	29	29	     0	     0	     0	20C(57.0214)		
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	false	false	Homo sapiens	Importin subunit alpha-3	1:Experimental evidence at protein level	45.49	1.0000	0.9990	0.00000000000000	15	9	15	90	69	90	     0	     0	     0	10C(57.0214), 16C(57.0214), 19C(57.0214), 8C(57.0214)		
sp|O00743|PPP6_HUMAN	O00743	PPP6_HUMAN	PPP6C	305	false	false	Homo sapiens	Serine/threonine-protein phosphatase 6 catalytic subunit	1:Experimental evidence at protein level	36.39	1.0000	0.9990	0.00000000000000	8	8	8	40	40	40	     0	     0	     0	11C(57.0214), 12C(57.0214), 1C(57.0214), 4C(57.0214)		
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	false	false	Homo sapiens	Pyridoxal kinase	1:Experimental evidence at protein level	59.62	1.0000	0.9990	0.00000000000000	13	13	13	57	57	57	     0	     0	     0	5C(57.0214)		
sp|O00767|SCD_HUMAN	O00767	SCD_HUMAN	SCD	359	false	false	Homo sapiens	Stearoyl-CoA desaturase	1:Experimental evidence at protein level	21.17	1.0000	0.9990	0.00000000000000	5	5	5	17	17	17	     0	     0	     0			
sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	false	false	Homo sapiens	AT-rich interactive domain-containing protein 1A	1:Experimental evidence at protein level	4.03	1.0000	0.9990	0.00000000000000	5	4	5	9	6	9	     0	     0	     0	9C(57.0214)		
sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	false	false	Homo sapiens	Acyl carrier protein, mitochondrial	1:Experimental evidence at protein level	15.38	1.0000	0.9990	0.00000000000000	3	3	3	20	20	20	     0	     0	     0	3C(57.0214)		
sp|O14562|UBFD1_HUMAN	O14562	UBFD1_HUMAN	UBFD1	309	false	false	Homo sapiens	Ubiquitin domain-containing protein UBFD1	1:Experimental evidence at protein level	39.81	1.0000	0.9990	0.00000000000000	5	5	5	28	28	28	     0	     0	     0	32C(57.0214), N-term(42.0106)		
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	false	false	Homo sapiens	Coatomer subunit epsilon	1:Experimental evidence at protein level	58.44	1.0000	0.9990	0.00000000000000	11	11	11	56	56	56	     0	     0	     0	11C(57.0214), 14C(57.0214), 1C(57.0214)		
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	false	false	Homo sapiens	AP-3 complex subunit delta-1	1:Experimental evidence at protein level	24.72	1.0000	0.9990	0.00000000000000	18	18	18	50	50	50	     0	     0	     0	17C(57.0214), 19C(57.0214), 1C(57.0214), 3C(57.0214), 6C(57.0214)		
sp|O14656|TOR1A_HUMAN	O14656	TOR1A_HUMAN	TOR1A	332	false	false	Homo sapiens	Torsin-1A	1:Experimental evidence at protein level	31.02	1.0000	0.9990	0.00000000000000	8	7	8	18	16	18	     0	     0	     0	3C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O14657|TOR1B_HUMAN	O14657	TOR1B_HUMAN	TOR1B	336	false	false	Homo sapiens	Torsin-1B	1:Experimental evidence at protein level	27.08	1.0000	0.9990	0.00000000000000	7	7	7	19	19	19	     0	     0	     0	6C(57.0214)		
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	false	false	Homo sapiens	Disintegrin and metalloproteinase domain-containing protein 10	1:Experimental evidence at protein level	11.23	1.0000	0.9990	0.00000000000000	6	6	6	17	17	17	     0	     0	     0	10C(57.0214), 14C(57.0214), 2C(57.0214), 3C(57.0214), 6C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O14732|IMPA2_HUMAN	O14732	IMPA2_HUMAN	IMPA2	288	false	false	Homo sapiens	Inositol monophosphatase 2	1:Experimental evidence at protein level	39.24	1.0000	0.9990	0.00000000000000	7	7	7	14	14	14	     0	     0	     0	18C(57.0214), 19C(57.0214), 1C(57.0214)		
sp|O14735|CDIPT_HUMAN	O14735	CDIPT_HUMAN	CDIPT	213	false	false	Homo sapiens	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	1:Experimental evidence at protein level	15.96	1.0000	0.9990	0.00000000000000	3	3	3	6	6	6	     0	     0	     0			
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	false	false	Homo sapiens	Programmed cell death protein 5	1:Experimental evidence at protein level	34.40	1.0000	0.9990	0.00000000000000	4	4	4	17	17	17	     0	     0	     0	N-term(42.0106)		
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	false	false	Homo sapiens	Protein arginine N-methyltransferase 5	1:Experimental evidence at protein level	42.23	1.0000	0.9990	0.00000000000000	19	19	19	67	67	67	     0	     0	     0	12C(57.0214), 21C(57.0214), 4C(57.0214), 7C(57.0214), N-term(42.0106)		
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	NHERF1	358	false	false	Homo sapiens	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1:Experimental evidence at protein level	41.62	1.0000	0.9990	0.00000000000000	10	10	10	45	45	45	     0	     0	     0	8C(57.0214), N-term(42.0106)		
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	false	false	Homo sapiens	Tripeptidyl-peptidase 1	1:Experimental evidence at protein level	30.91	1.0000	0.9990	0.00000000000000	9	9	9	48	48	48	     0	     0	     0	15C(57.0214), 17C(57.0214), 2C(57.0214), 6C(57.0214)		
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	false	false	Homo sapiens	Transcription elongation regulator 1	1:Experimental evidence at protein level	27.60	1.0000	0.9990	0.00000000000000	28	27	28	106	102	106	     0	     0	     0	13C(57.0214), 15C(57.0214), 6C(57.0214)		
sp|O14787|TNPO2_HUMAN	O14787	TNPO2_HUMAN	TNPO2	897	false	false	Homo sapiens	Transportin-2	1:Experimental evidence at protein level	16.16	1.0000	0.9990	0.00000000000000	9	6	6	35	20	20	     0	     0	     0	13C(57.0214), 25C(57.0214), 3C(57.0214), N-term(42.0106)		
